dt,LandAverageTemperature,LandAverageTemperatureUncertainty
1764-08-01,12.282,1.259
1764-09-01,10.696,2.236
1764-10-01,10.011000000000001,2.515
1764-11-01,5.791,2.8280000000000003
1764-12-01,5.315,2.809
1765-01-01,3.78,4.928
1765-02-01,3.832,3.156
1765-03-01,6.859,2.442
1765-04-01,9.013,1.4480000000000002
1765-05-01,10.734000000000002,1.928
1765-06-01,10.832999999999998,1.453
1765-07-01,13.953,2.375
1765-08-01,13.12,1.872
1765-09-01,10.993,1.705
1765-10-01,7.904,1.533
1765-11-01,5.603,3.737
1765-12-01,2.399,2.556
1766-01-01,-0.7930000000000001,4.766
1766-02-01,4.896,3.741
1766-03-01,6.062,2.802
1766-04-01,8.007,2.084
1766-05-01,11.228,1.555
1766-06-01,13.653,3.745
1766-07-01,13.555,2.341
1766-08-01,13.758,2.5980000000000003
1766-09-01,12.25,2.855
1766-10-01,8.465,1.491
1766-11-01,7.4540000000000015,3.774
1766-12-01,2.333,2.278
1767-01-01,-0.6430000000000002,5.6560000000000015
1767-02-01,3.932,4.973
1767-03-01,7.022,4.418
1767-04-01,6.278,3.557
1767-05-01,10.193,1.501
1767-06-01,14.112,1.426
1767-07-01,13.360999999999999,2.559
1767-08-01,14.597000000000001,1.466
1767-09-01,11.675,2.313
1767-10-01,9.027000000000001,1.611
1767-11-01,7.915,3.775
1767-12-01,1.189,2.297
1768-01-01,-2.08,3.027
1768-02-01,0.5060000000000002,3.04
1768-03-01,2.4459999999999997,2.157
1768-04-01,6.92,1.84
1768-05-01,9.066,2.4330000000000003
1768-06-01,12.489999999999998,1.729
1768-07-01,13.875,2.552
1768-08-01,12.352,2.046
1768-09-01,10.824000000000002,1.504
1768-10-01,7.728999999999999,2.5580000000000003
1768-11-01,4.581,2.02
1768-12-01,2.667,2.286
1769-01-01,2.305,3.76
1769-02-01,2.164,2.527
1769-03-01,4.57,2.225
1769-04-01,8.966999999999997,3.105
1769-05-01,12.873,1.753
1769-06-01,15.142000000000001,1.727
1769-07-01,14.460999999999999,3.669
1769-08-01,13.494000000000002,1.604
1769-09-01,11.25,1.598
1769-10-01,5.296999999999999,2.395
1769-11-01,2.79,2.267
1769-12-01,-0.9780000000000002,2.291
1770-01-01,1.974,4.275
1770-02-01,4.105,4.129
1770-03-01,1.6119999999999999,2.276
1770-04-01,9.788,3.516
1770-05-01,9.996,1.27
1770-06-01,11.884,3.395
1770-07-01,11.620999999999999,2.658
1770-08-01,11.413,3.14
1770-09-01,10.724,1.51
1770-10-01,8.661,1.6030000000000002
1770-11-01,5.791,2.7260000000000004
1770-12-01,4.734,2.87
1771-01-01,5.101,4.287
1771-02-01,-0.27399999999999997,3.218
1771-03-01,2.8139999999999996,3.237
1771-04-01,5.716999999999999,2.647
1771-05-01,9.626,3.088
1771-06-01,14.104000000000001,1.403
1771-07-01,13.828,1.435
1771-08-01,14.204,2.246
1771-09-01,11.363,1.515
1771-10-01,10.317,1.721
1771-11-01,4.916,2.952
1771-12-01,2.522,3.506
1772-01-01,1.253,4.624
1772-02-01,1.4780000000000002,5.962999999999999
1772-03-01,3.057,2.206
1772-04-01,8.857999999999997,1.524
1772-05-01,9.531,1.844
1772-06-01,12.646999999999998,2.4290000000000003
1772-07-01,14.581,1.409
1772-08-01,14.097999999999999,1.641
1772-09-01,10.303,1.334
1772-10-01,9.268,1.386
1772-11-01,7.736000000000001,2.582
1772-12-01,5.5120000000000005,2.624
1773-01-01,-0.43699999999999983,2.9330000000000003
1773-02-01,1.4209999999999998,3.0210000000000004
1773-03-01,4.4220000000000015,2.083
1773-04-01,9.415,2.095
1773-05-01,12.764000000000001,2.537
1773-06-01,12.811,1.259
1773-07-01,14.484000000000002,1.085
1773-08-01,13.624,1.162
1773-09-01,12.488,1.676
1773-10-01,9.206,1.874
1773-11-01,3.369,4.817
1773-12-01,5.090999999999998,3.787
1774-01-01,-0.3249999999999997,4.557
1774-02-01,4.914,5.124
1774-03-01,5.643,2.779
1774-04-01,10.153,3.849
1774-05-01,16.025,2.535
1774-06-01,15.371,3.891
1774-07-01,16.521,3.806
1774-08-01,14.099,1.947
1774-09-01,10.936,2.115
1774-10-01,8.59,2.625
1774-11-01,3.029,4.4830000000000005
1774-12-01,0.31000000000000005,3.2710000000000004
1775-01-01,4.261,3.435
1775-02-01,6.4270000000000005,3.139
1775-03-01,7.7589999999999995,2.394
1775-04-01,7.951999999999999,1.538
1775-05-01,11.399000000000001,1.846
1775-06-01,12.314,2.805
1775-07-01,14.719000000000001,1.058
1775-08-01,14.435,1.093
1775-09-01,11.095999999999998,1.459
1775-10-01,10.372,2.116
1775-11-01,8.179,4.56
1775-12-01,1.2839999999999998,2.404
1776-01-01,-0.8059999999999999,4.467
1776-02-01,4.825,3.762
1776-03-01,4.652,2.388
1776-04-01,7.439999999999999,1.404
1776-05-01,10.475,5.237
1776-06-01,14.564,2.4330000000000003
1776-07-01,14.107999999999999,1.3030000000000002
1776-08-01,14.837,3.437
1776-09-01,10.602,2.065
1776-10-01,8.059999999999999,2.152
1776-11-01,5.87,2.7880000000000003
1776-12-01,5.021,2.934
1777-01-01,6.021000000000001,3.11
1777-02-01,4.9190000000000005,5.268
1777-03-01,5.572,2.307
1777-04-01,6.361999999999999,1.401
1777-05-01,11.389000000000001,2.117
1777-06-01,12.323,1.607
1777-07-01,12.743,1.078
1777-08-01,12.815,1.269
1777-09-01,11.379000000000001,2.692
1777-10-01,6.956,3.464
1777-11-01,5.529,2.276
1777-12-01,3.0669999999999997,2.725
1778-01-01,2.521,3.544
1778-02-01,6.0939999999999985,3.569
1778-03-01,4.604,4.151
1778-04-01,10.983999999999998,1.69
1778-05-01,11.286,1.673
1778-06-01,11.731,3.975
1778-07-01,15.037,2.216
1778-08-01,12.869000000000002,2.658
1778-09-01,13.377,2.35
1778-10-01,8.049,3.608
1778-11-01,3.8539999999999996,2.675
1778-12-01,2.101,2.361
1779-01-01,1.4700000000000002,2.802
1779-02-01,5.14,4.959
1779-03-01,6.9670000000000005,3.017
1779-04-01,9.965,3.0860000000000003
1779-05-01,14.18,1.863
1779-06-01,12.547,2.14
1779-07-01,13.659,1.858
1779-08-01,13.799000000000001,1.4780000000000002
1779-09-01,12.683,1.809
1779-10-01,9.35,1.544
1779-11-01,5.7700000000000005,2.258
1779-12-01,2.269,3.256
1780-01-01,2.515,3.438
1780-02-01,4.08,3.179
1780-03-01,5.724,2.381
1780-04-01,13.732000000000001,3.0580000000000003
1780-05-01,15.756999999999998,1.419
1780-06-01,14.747,2.9810000000000003
1780-07-01,16.183,1.3
1780-08-01,12.947000000000001,3.131
1780-09-01,8.844,2.104
1780-10-01,9.376,1.873
1780-11-01,6.706,2.596
1780-12-01,2.5839999999999996,3.5580000000000003
1781-01-01,2.401,4.948
1781-02-01,2.267,3.5810000000000004
1781-03-01,4.772,2.443
1781-04-01,6.922999999999999,2.076
1781-05-01,11.102,1.838
1781-06-01,11.678,1.385
1781-07-01,14.285,1.696
1781-08-01,14.140999999999998,1.004
1781-09-01,10.303999999999998,3.69
1781-10-01,8.546999999999999,1.2819999999999998
1781-11-01,7.523,1.676
1781-12-01,3.2880000000000003,4.427
1782-01-01,0.3410000000000002,3.547
1782-02-01,0.6389999999999998,4.862
1782-03-01,2.565,2.221
1782-04-01,8.617999999999999,2.154
1782-05-01,10.989999999999998,1.474
1782-06-01,13.800999999999998,1.517
1782-07-01,13.925,2.96
1782-08-01,15.683,2.487
1782-09-01,12.398,1.7280000000000002
1782-10-01,8.978,1.826
1782-11-01,4.956,2.4730000000000003
1782-12-01,1.921,3.358
1783-01-01,-1.4310000000000005,5.292999999999998
1783-02-01,5.2940000000000005,3.683
1783-03-01,4.7989999999999995,2.597
1783-04-01,8.574,1.564
1783-05-01,11.819,2.906
1783-06-01,14.34,1.541
1783-07-01,13.069,1.3430000000000002
1783-08-01,13.970999999999998,1.6130000000000002
1783-09-01,9.957999999999998,1.439
1783-10-01,7.356999999999998,2.6210000000000004
1783-11-01,2.1959999999999997,2.2
1783-12-01,2.224,3.133
1784-01-01,2.596,3.347
1784-02-01,0.989,2.842
1784-03-01,3.9189999999999996,3.258
1784-04-01,8.142000000000001,1.272
1784-05-01,10.013,1.538
1784-06-01,12.803,1.8
1784-07-01,14.947,1.803
1784-08-01,15.860999999999999,2.595
1784-09-01,10.265999999999998,1.068
1784-10-01,6.8359999999999985,1.68
1784-11-01,4.5569999999999995,2.522
1784-12-01,3.415,3.343
1785-01-01,0.865,2.754
1785-02-01,1.045,2.408
1785-03-01,2.289,4.215
1785-04-01,6.379,1.45
1785-05-01,9.853,2.088
1785-06-01,13.744000000000002,2.653
1785-07-01,14.468,2.215
1785-08-01,14.466,2.046
1785-09-01,10.497,1.143
1785-10-01,7.350999999999999,1.732
1785-11-01,5.526,2.261
1785-12-01,1.8730000000000002,1.909
1786-01-01,0.7630000000000001,2.436
1786-02-01,2.657,2.463
1786-03-01,5.648,2.27
1786-04-01,9.318,3.079
1786-05-01,11.582999999999998,2.387
1786-06-01,13.035,1.295
1786-07-01,15.294,2.311
1786-08-01,14.455,3.35
1786-09-01,12.158,2.9330000000000003
1786-10-01,7.712000000000001,1.4380000000000002
1786-11-01,5.7410000000000005,3.837
1786-12-01,0.7339999999999995,2.506
1787-01-01,2.845,3.176
1787-02-01,2.563,2.842
1787-03-01,4.698,3.1260000000000003
1787-04-01,7.7719999999999985,1.5219999999999998
1787-05-01,11.403,1.364
1787-06-01,14.369000000000002,2.099
1787-07-01,13.450999999999999,2.425
1787-08-01,13.555,1.4369999999999998
1787-09-01,10.357000000000001,1.5630000000000002
1787-10-01,7.7719999999999985,3.312
1787-11-01,5.801,2.844
1787-12-01,1.7959999999999998,2.631
1788-01-01,0.7350000000000001,2.9930000000000003
1788-02-01,3.5810000000000004,4.039
1788-03-01,5.336,3.057
1788-04-01,8.713999999999999,2.657
1788-05-01,10.428,1.336
1788-06-01,13.808,1.262
1788-07-01,16.468,2.9160000000000004
1788-08-01,13.885,1.5319999999999998
1788-09-01,11.699000000000002,1.261
1788-10-01,9.349,2.132
1788-11-01,6.111000000000001,1.682
1788-12-01,1.2519999999999998,5.827000000000001
1789-01-01,3.7060000000000004,4.039
1789-02-01,1.675,2.576
1789-03-01,3.989,1.595
1789-04-01,7.693999999999999,1.507
1789-05-01,11.666,2.228
1789-06-01,13.507,1.042
1789-07-01,15.462,1.922
1789-08-01,13.84,1.298
1789-09-01,12.018,1.189
1789-10-01,7.39,1.836
1789-11-01,5.9639999999999995,1.586
1789-12-01,3.099,1.606
1790-01-01,2.444,1.94
1790-02-01,2.9730000000000003,2.5980000000000003
1790-03-01,4.582,1.914
1790-04-01,6.052999999999999,2.314
1790-05-01,10.357000000000001,1.057
1790-06-01,13.746,1.226
1790-07-01,13.812000000000001,1.6569999999999998
1790-08-01,13.925,1.269
1790-09-01,11.233,1.524
1790-10-01,8.577,1.297
1790-11-01,5.331,1.565
1790-12-01,2.755,2.899
1791-01-01,1.493,5.035
1791-02-01,3.466,2.44
1791-03-01,4.79,2.249
1791-04-01,9.127,1.617
1791-05-01,9.859,1.256
1791-06-01,13.231,1.314
1791-07-01,13.612,1.0590000000000002
1791-08-01,13.744000000000002,0.807
1791-09-01,11.677,1.248
1791-10-01,8.08,1.019
1791-11-01,6.206,1.793
1791-12-01,3.5260000000000002,1.568
1792-01-01,0.3480000000000003,2.516
1792-02-01,3.62,2.434
1792-03-01,4.428999999999999,1.692
1792-04-01,7.994,1.368
1792-05-01,11.321,1.101
1792-06-01,13.581,1.406
1792-07-01,14.212,1.362
1792-08-01,12.280999999999999,1.395
1792-09-01,12.491,1.072
1792-10-01,8.097000000000001,1.39
1792-11-01,5.306,2.145
1792-12-01,3.388,2.524
1793-01-01,0.5209999999999999,2.674
1793-02-01,4.745,2.624
1793-03-01,5.042,2.145
1793-04-01,8.642999999999999,1.904
1793-05-01,11.059000000000001,1.544
1793-06-01,13.146,1.91
1793-07-01,14.335999999999999,2.864
1793-08-01,13.16,1.746
1793-09-01,12.002,2.325
1793-10-01,8.392999999999999,1.661
1793-11-01,5.666,3.635
1793-12-01,2.037,2.261
1794-01-01,3.71,3.869
1794-02-01,3.605,5.138
1794-03-01,5.696000000000001,1.805
1794-04-01,9.367,1.219
1794-05-01,12.376,1.063
1794-06-01,11.994000000000002,1.159
1794-07-01,12.874,1.283
1794-08-01,13.484000000000002,0.989
1794-09-01,11.896,1.57
1794-10-01,9.108,1.29
1794-11-01,5.284,2.087
1794-12-01,2.918,2.276
1795-01-01,2.7310000000000003,2.506
1795-02-01,4.39,3.3360000000000003
1795-03-01,5.709,1.959
1795-04-01,8.918,1.88
1795-05-01,11.029000000000002,2.444
1795-06-01,13.293,0.987
1795-07-01,14.295,2.165
1795-08-01,13.14,1.135
1795-09-01,11.133,1.3969999999999998
1795-10-01,7.7860000000000005,2.202
1795-11-01,5.207000000000001,2.269
1795-12-01,2.573,2.24
1796-01-01,2.8440000000000003,2.096
1796-02-01,2.736,2.019
1796-03-01,3.477,2.044
1796-04-01,7.773,1.16
1796-05-01,11.273,0.955
1796-06-01,14.216,2.923
1796-07-01,14.314,0.964
1796-08-01,14.722000000000001,2.777
1796-09-01,12.012,1.919
1796-10-01,8.924,1.283
1796-11-01,5.702000000000001,1.456
1796-12-01,1.2590000000000001,3.452
1797-01-01,4.396,2.397
1797-02-01,4.957,2.564
1797-03-01,4.056,2.948
1797-04-01,6.6,3.3110000000000004
1797-05-01,10.417,2.432
1797-06-01,13.852,1.014
1797-07-01,14.107000000000001,1.6130000000000002
1797-08-01,14.04,1.713
1797-09-01,12.459000000000001,1.7719999999999998
1797-10-01,9.191,1.332
1797-11-01,4.777,1.727
1797-12-01,3.275,1.725
1798-01-01,2.6790000000000003,1.967
1798-02-01,3.213,2.0340000000000003
1798-03-01,7.007999999999999,2.537
1798-04-01,8.083,1.85
1798-05-01,11.768999999999998,2.029
1798-06-01,13.246,0.7929999999999999
1798-07-01,14.950999999999999,1.281
1798-08-01,14.754000000000001,2.047
1798-09-01,11.627,1.6869999999999998
1798-10-01,8.655,1.024
1798-11-01,6.031000000000001,2.629
1798-12-01,2.027,2.962
1799-01-01,1.923,2.229
1799-02-01,2.0780000000000003,2.891
1799-03-01,3.986,1.5619999999999998
1799-04-01,8.786,2.533
1799-05-01,11.353,1.545
1799-06-01,13.68,0.873
1799-07-01,14.869000000000002,1.308
1799-08-01,14.085999999999999,1.083
1799-09-01,12.311,1.378
1799-10-01,9.606,1.369
1799-11-01,5.904,1.894
1799-12-01,3.487,2.196
1800-01-01,2.815,1.844
1800-02-01,3.634,2.6
1800-03-01,4.452,2.613
1800-04-01,9.125,2.168
1800-05-01,11.097000000000001,1.725
1800-06-01,13.606,1.169
1800-07-01,13.763,0.933
1800-08-01,13.619000000000002,1.4169999999999998
1800-09-01,10.795,1.62
1800-10-01,9.469,1.643
1800-11-01,5.572,1.264
1800-12-01,3.864,1.628
1801-01-01,2.6870000000000003,1.922
1801-02-01,3.1489999999999996,2.045
1801-03-01,6.455,1.336
1801-04-01,7.404,1.619
1801-05-01,12.123,1.541
1801-06-01,12.536,0.877
1801-07-01,14.675999999999998,1.56
1801-08-01,13.187000000000001,1.223
1801-09-01,11.462,1.384
1801-10-01,9.099,1.267
1801-11-01,5.72,1.681
1801-12-01,4.5779999999999985,2.525
1802-01-01,3.74,1.905
1802-02-01,2.8280000000000003,2.053
1802-03-01,5.2010000000000005,2.7060000000000004
1802-04-01,7.622999999999998,1.464
1802-05-01,10.457,1.82
1802-06-01,14.470999999999998,1.253
1802-07-01,14.628,1.155
1802-08-01,14.039000000000001,1.586
1802-09-01,11.787999999999998,2.141
1802-10-01,9.747,1.612
1802-11-01,5.535,2.146
1802-12-01,2.8810000000000002,2.347
1803-01-01,0.6019999999999999,2.026
1803-02-01,1.443,2.887
1803-03-01,4.875,2.061
1803-04-01,9.291,1.914
1803-05-01,11.795,0.898
1803-06-01,13.821,0.7659999999999999
1803-07-01,15.106,0.944
1803-08-01,15.366,1.252
1803-09-01,12.33,1.259
1803-10-01,9.119,1.479
1803-11-01,5.961,1.843
1803-12-01,2.327,2.269
1804-01-01,2.4450000000000003,2.6830000000000003
1804-02-01,1.939,2.293
1804-03-01,4.425,2.186
1804-04-01,10.057,1.117
1804-05-01,12.107000000000001,1.274
1804-06-01,13.774000000000001,1.58
1804-07-01,15.774,1.318
1804-08-01,14.511,1.08
1804-09-01,12.468,2.644
1804-10-01,9.282,1.231
1804-11-01,7.132000000000001,2.099
1804-12-01,2.224,2.597
1805-01-01,2.822,2.512
1805-02-01,2.557,2.455
1805-03-01,5.76,1.4980000000000002
1805-04-01,8.123,1.291
1805-05-01,11.104000000000001,1.216
1805-06-01,14.027000000000001,1.368
1805-07-01,14.702,1.151
1805-08-01,15.27,1.021
1805-09-01,12.039000000000001,1.831
1805-10-01,7.635999999999999,1.6030000000000002
1805-11-01,4.555,2.399
1805-12-01,4.158,1.922
1806-01-01,2.9170000000000003,2.167
1806-02-01,2.937,2.079
1806-03-01,4.691,1.557
1806-04-01,8.032,1.7719999999999998
1806-05-01,11.503,1.426
1806-06-01,12.418,0.8370000000000001
1806-07-01,13.923,1.505
1806-08-01,14.593,1.361
1806-09-01,12.549000000000001,1.753
1806-10-01,8.426,1.113
1806-11-01,5.231,1.5419999999999998
1806-12-01,3.989,1.729
1807-01-01,1.0550000000000002,2.393
1807-02-01,4.093999999999999,2.677
1807-03-01,4.788,2.253
1807-04-01,6.970999999999999,1.26
1807-05-01,9.331,0.93
1807-06-01,13.293,1.271
1807-07-01,14.138,1.605
1807-08-01,13.799000000000001,1.525
1807-09-01,12.614999999999998,1.18
1807-10-01,8.857000000000001,1.193
1807-11-01,6.015,1.588
1807-12-01,4.4209999999999985,1.232
1808-01-01,1.131,4.1110000000000015
1808-02-01,2.142,2.175
1808-03-01,4.361000000000001,3.02
1808-04-01,7.481999999999998,1.459
1808-05-01,9.357000000000001,2.068
1808-06-01,13.428999999999998,1.585
1808-07-01,14.491,1.676
1808-08-01,13.047,1.227
1808-09-01,12.711,1.6880000000000002
1808-10-01,7.971999999999999,1.48
1808-11-01,4.5120000000000005,1.7719999999999998
1808-12-01,0.887,1.7009999999999998
1809-01-01,0.20800000000000016,2.59
1809-02-01,0.8559999999999999,2.818
1809-03-01,3.425,1.666
1809-04-01,7.832999999999998,2.498
1809-05-01,9.243,1.304
1809-06-01,12.998,1.348
1809-07-01,12.655999999999999,1.481
1809-08-01,12.905,1.6669999999999998
1809-09-01,10.967,1.633
1809-10-01,8.65,3.554
1809-11-01,3.099,2.478
1809-12-01,2.077,2.588
1810-01-01,0.8880000000000001,3.258
1810-02-01,2.391,2.403
1810-03-01,5.013999999999999,4.457
1810-04-01,6.533,2.229
1810-05-01,9.069,1.907
1810-06-01,11.934000000000001,2.281
1810-07-01,12.550999999999998,2.016
1810-08-01,12.040999999999999,1.212
1810-09-01,9.532,1.247
1810-10-01,6.632000000000001,1.989
1810-11-01,3.827,2.64
1810-12-01,2.66,2.093
1811-01-01,1.374,2.323
1811-02-01,0.4500000000000002,3.475
1811-03-01,3.701,1.808
1811-04-01,6.3020000000000005,1.422
1811-05-01,9.443,1.663
1811-06-01,12.137,1.706
1811-07-01,11.956,1.383
1811-08-01,13.325999999999999,2.289
1811-09-01,10.368,1.931
1811-10-01,6.58,2.863
1811-11-01,3.503,1.802
1811-12-01,3.174,2.484
1812-01-01,0.977,4.545
1812-02-01,0.13100000000000026,3.062
1812-03-01,2.044,1.805
1812-04-01,6.949999999999998,1.984
1812-05-01,9.579999999999998,1.279
1812-06-01,12.005,1.1740000000000002
1812-07-01,14.355,1.463
1812-08-01,15.017999999999999,1.746
1812-09-01,10.185,2.052
1812-10-01,7.593,1.793
1812-11-01,4.369,2.585
1812-12-01,1.348,2.139
1813-01-01,-1.3849999999999998,2.191
1813-02-01,2.258,1.958
1813-03-01,1.5959999999999999,1.622
1813-04-01,8.181999999999999,1.486
1813-05-01,11.367,3.826
1813-06-01,13.242,1.138
1813-07-01,14.520999999999999,0.877
1813-08-01,13.097000000000001,0.995
1813-09-01,12.339,1.743
1813-10-01,8.666,1.565
1813-11-01,6.825,1.315
1813-12-01,2.171,1.79
1814-01-01,1.5020000000000002,2.622
1814-02-01,1.689,2.121
1814-03-01,2.664,2.259
1814-04-01,7.193,1.5
1814-05-01,9.417,2.321
1814-06-01,12.818,0.989
1814-07-01,12.532,1.852
1814-08-01,12.668,1.453
1814-09-01,10.675999999999998,1.332
1814-10-01,7.374,1.847
1814-11-01,6.739,3.428
1814-12-01,5.8290000000000015,4.298
1815-01-01,2.051,2.033
1815-02-01,2.273,2.386
1815-03-01,3.663,2.3280000000000003
1815-04-01,6.587999999999999,2.341
1815-05-01,9.845,1.812
1815-06-01,11.162,1.242
1815-07-01,14.394,2.371
1815-08-01,13.209000000000001,1.348
1815-09-01,11.151,1.503
1815-10-01,7.1370000000000005,2.295
1815-11-01,4.178,1.732
1815-12-01,1.2209999999999996,2.207
1816-01-01,2.737,2.724
1816-02-01,0.6759999999999997,2.947
1816-03-01,3.905,1.928
1816-04-01,7.606,2.129
1816-05-01,10.594000000000001,1.804
1816-06-01,11.79,1.087
1816-07-01,12.267000000000001,1.538
1816-08-01,12.57,1.257
1816-09-01,10.39,0.7070000000000001
1816-10-01,5.699,3.583
1816-11-01,4.058,3.81
1816-12-01,0.9580000000000002,2.801
1817-01-01,1.54,2.451
1817-02-01,3.6489999999999996,2.547
1817-03-01,4.569,2.153
1817-04-01,7.8889999999999985,1.836
1817-05-01,9.476,1.394
1817-06-01,11.287,1.25
1817-07-01,12.072000000000001,1.057
1817-08-01,13.402999999999999,1.307
1817-09-01,8.812000000000001,1.178
1817-10-01,6.2029999999999985,1.963
1817-11-01,4.638,1.6909999999999998
1817-12-01,0.16999999999999993,1.673
1818-01-01,1.2040000000000002,1.775
1818-02-01,0.7549999999999999,1.912
