trType,posX1,posY1,posZ1,posX2,posY2,posZ2
2,4721.5,61509,42525.3,4041.32,60635.3,46574
2,4041.32,60635.3,46574,3418.39,59679.7,50424
2,3418.39,59679.7,50424,3235.33,59374.3,51683
2,3235.33,59374.3,51683,3055.24,59079.1,52988
2,3055.24,59079.1,52988,2877.93,58801.1,54271
2,2877.93,58801.1,54271,2636.04,58448.6,55780
2,2636.04,58448.6,55780,2182.95,57858.5,58350
2,2182.95,57858.5,58350,1768.82,57319.2,60699
2,1768.82,57319.2,60699,1462.9,56942.1,62206
2,1462.9,56942.1,62206,1270.84,56698.8,63270
2,1270.84,56698.8,63270,1057.81,56411.7,64558
2,4721.5,61509,42525.3,4631.47,62634.7,45287
2,4631.47,62634.7,45287,4531.6,63622.3,47861
2,4531.6,63622.3,47861,4463.29,64110.7,49145
2,4463.29,64110.7,49145,4343.74,65084.3,51705
2,4343.74,65084.3,51705,4326.29,66019.1,54271
2,4326.29,66019.1,54271,4297.75,67488.2,58128
2,6422.4,58863.4,30080.7,6124.15,59378.1,32431
2,6124.15,59378.1,32431,5948.58,59658.8,33721
2,5948.58,59658.8,33721,5610.25,60206.9,36288
2,5610.25,60206.9,36288,5427.52,60462.8,37564
2,5427.52,60462.8,37564,5260.49,60729.5,38843
2,5260.49,60729.5,38843,5087.79,60993.8,40126
2,5087.79,60993.8,40126,4912.85,61261.8,41419
2,4912.85,61261.8,41419,4721.5,61509,42525.3
2,6422.4,58863.4,30080.7,6283.26,59073.8,32431
2,6283.26,59073.8,32431,6138.09,59341.7,35005
2,6138.09,59341.7,35005,5985.57,59590.7,37564
2,5985.57,59590.7,37564,5830.57,59836.6,40126
2,5830.57,59836.6,40126,5754.03,59970.9,41419
2,5754.03,59970.9,41419,5676.44,60097.9,42710
2,5676.44,60097.9,42710,5603.68,60228.3,44000
2,5603.68,60228.3,44000,5443.32,60487,46574
2,5443.32,60487,46574,5364.3,60620.7,47861
2,5364.3,60620.7,47861,5205.65,60882.7,50424
2,5205.65,60882.7,50424,5130.58,61012.2,51705
2,5130.58,61012.2,51705,5061.04,61137.3,52988
2,5061.04,61137.3,52988,4919.18,61378.3,55558
2,4919.18,61378.3,55558,4847.18,61511.4,56846
2,4847.18,61511.4,56846,4622.17,61890.1,60699
2,4622.17,61890.1,60699,4485.65,62158.3,63270
2,4485.65,62158.3,63270,4413.65,62290.3,64558
2,4413.65,62290.3,64558,4347.19,62421.8,65846
2,4347.19,62421.8,65846,4222.62,62679.6,68409
2,4222.62,62679.6,68409,4149.35,62803.1,69690
2,4149.35,62803.1,69690,4012.17,63061.3,72259
2,4012.17,63061.3,72259,3933.4,63204.8,73585
2,6422.4,58863.4,30080.7,6323.69,59474.5,32431
2,6323.69,59474.5,32431,6275.96,59818.9,33721
2,6275.96,59818.9,33721,6201.49,60157.9,35005
2,6201.49,60157.9,35005,5982.72,61186.5,38843
2,5982.72,61186.5,38843,5916,61517.5,40126
2,5916,61517.5,40126,5786.8,62189.3,42710
2,5786.8,62189.3,42710,5704.24,62550.5,44000
2,5704.24,62550.5,44000,5637.32,62900.6,45287
2,5637.32,62900.6,45287,5567.82,63262.2,46574
2,5567.82,63262.2,46574,5485.45,63612.3,47861
2,5485.45,63612.3,47861,5412.27,63962.8,49145
2,5412.27,63962.8,49145,5325.29,64306.9,50424
2,5325.29,64306.9,50424,5253.56,64654,51705
2,5253.56,64654,51705,5014.67,65725.2,55558
2,5014.67,65725.2,55558,4925.8,66087.1,56846
2,4925.8,66087.1,56846,4832.21,66442.2,58128
2,4832.21,66442.2,58128,4739.48,66824.7,59416
2,4739.48,66824.7,59416,4333.26,68326.2,64558
2,4333.26,68326.2,64558,4135.29,69079.5,67129
2,4135.29,69079.5,67129,4034.17,69454.5,68409
2,4034.17,69454.5,68409,3930.41,69822.2,69690
2,3930.41,69822.2,69690,3829.13,70188.8,70972
2,3829.13,70188.8,70972,3721.03,70558.2,72259
2,15108.6,59153.1,39707.7,15099.2,59119.6,41294
2,15099.2,59119.6,41294,15051.8,59094.5,42594
2,15051.8,59094.5,42594,14962.8,59081.7,43894
2,14962.8,59081.7,43894,14883.1,59060.7,45194
2,14883.1,59060.7,45194,14810.9,59023.2,46494
2,14810.9,59023.2,46494,14724.5,59004.1,47794
2,14724.5,59004.1,47794,14627.2,58992,49094
2,14627.2,58992,49094,14539.5,58948.9,50394
2,14539.5,58948.9,50394,14433.9,58933,51694
2,14433.9,58933,51694,14323.4,58886.7,52994
2,14323.4,58886.7,52994,14289.2,58835.3,54294
2,14289.2,58835.3,54294,14227.5,58779.2,55594
2,14227.5,58779.2,55594,14166,58725.7,56894
2,14166,58725.7,56894,14102.3,58630.6,58194
2,14102.3,58630.6,58194,13995,58558.4,59494
2,13995,58558.4,59494,13903.1,58456,60794
2,15108.6,59153.1,39707.7,15291.7,58938.3,41294
2,15291.7,58938.3,41294,15419.1,58820.6,42594
2,15419.1,58820.6,42594,15550.2,58638.4,43894
3,15263.5,59609.5,43894,15327.1,59756.1,45194
3,15327.1,59756.1,45194,15397.1,59895.5,46494
3,15397.1,59895.5,46494,15493,60040.8,47836.1
3,15493,60040.8,47836.1,15550.9,60186,49126.3
3,15550.9,60186,49126.3,15590.3,60345.9,50435.8
3,15590.3,60345.9,50435.8,15627.1,60484,51736.4
3,15308.5,59783.4,45238.5,15382.5,59933.2,46538.5
3,15382.5,59933.2,46538.5,15481.7,60101.6,47836.1
3,15481.7,60101.6,47836.1,15664,60424.2,50435.8
3,15664,60424.2,50435.8,15768.4,60573.5,51736.4
3,15420.6,60062.8,47826.3,15492.6,60211,49126.3
3,15492.6,60211,49126.3,15553.8,60359.8,50435.8
3,15553.8,60359.8,50435.8,15611.8,60490.2,51736.4
3,15611.8,60490.2,51736.4,15702.7,60625.9,53046.5
3,15702.7,60625.9,53046.5,15929.7,60901.7,55668
3,15929.7,60901.7,55668,16041.4,61039.2,56978.9
3,16041.4,61039.2,56978.9,16328.8,61319.2,60894.3
3,16328.8,61319.2,60894.3,16547,61668.6,64798.2
3,16547,61668.6,64798.2,16707.6,62009.8,67396.6
3,15499.5,60208.9,49135.8,15582.8,60402.7,50435.8
3,15582.8,60402.7,50435.8,15740.8,60756.2,53046.5
3,15740.8,60756.2,53046.5,15828.7,60929.9,54346.8
3,15828.7,60929.9,54346.8,15923.4,61100,55668
3,15923.4,61100,55668,15985.8,61261.3,56978.9
3,15985.8,61261.3,56978.9,16294.3,61730.8,60894.3
3,15372.2,60413.5,51694,15415.4,60556.1,52994
3,15415.4,60556.1,52994,15456.7,60689.6,54294
3,15456.7,60689.6,54294,15501.3,60816.9,55594
3,15501.3,60816.9,55594,15611.5,61077.9,58194
3,15611.5,61077.9,58194,15654.3,61188.3,59494
3,15654.3,61188.3,59494,15694.5,61324.4,60794
3,15694.5,61324.4,60794,15729.6,61471.6,62094
3,15729.6,61471.6,62094,15795.4,61626.9,63394
3,15795.4,61626.9,63394,15867.8,61759.9,64694
3,15867.8,61759.9,64694,15950.6,61922.8,65994
3,15950.6,61922.8,65994,16242.7,62434.9,69894
3,16242.7,62434.9,69894,16406.2,62800.7,72494
3,16406.2,62800.7,72494,16536.9,62948.9,73794
3,15766.8,60949,55678.9,15873.9,61082.9,56978.9
3,15873.9,61082.9,56978.9,15943.9,61218.6,58295
3,15943.9,61218.6,58295,16051.7,61354.5,59590.8
3,16051.7,61354.5,59590.8,16165.4,61523.7,60894.3
3,16053.5,61198.5,56995,16159.2,61338.2,58295
3,16159.2,61338.2,58295,16393.4,61623.9,60894.3
3,16393.4,61623.9,60894.3,16468.4,61778.6,62191.7
3,16468.4,61778.6,62191.7,16599.5,61943.1,63502
3,16107.4,61312.9,59594.3,16240,61426,60894.3
3,16240,61426,60894.3,16329.1,61539.5,62191.7
3,16329.1,61539.5,62191.7,16606.2,61895.5,66099.1
2,15091.7,59260.2,40814.1,14942.7,59401.8,42594
2,14942.7,59401.8,42594,14820.1,59495.3,43894
2,14820.1,59495.3,43894,14695.5,59600.1,45194
2,14695.5,59600.1,45194,14571.1,59705.4,46494
2,14571.1,59705.4,46494,14439.7,59799.2,47794
2,14439.7,59799.2,47794,14299.5,59895.4,49094
2,14299.5,59895.4,49094,14165.8,60004.4,50394
2,14165.8,60004.4,50394,14021.1,60113.1,51694
2,14021.1,60113.1,51694,13888.1,60217.8,52994
2,13888.1,60217.8,52994,13746.3,60322.3,54294
2,13746.3,60322.3,54294,13603.9,60427.8,55594
2,13603.9,60427.8,55594,13467.9,60533.1,56894
2,13467.9,60533.1,56894,13333,60629,58194
2,13333,60629,58194,13203.8,60726.7,59494
2,13203.8,60726.7,59494,13072.6,60829.7,60794
2,15120,59147.6,39805,14774.2,58747,41294
2,14774.2,58747,41294,14470.4,58391,42594
2,14470.4,58391,42594,14171,58045.5,43894
2,14171,58045.5,43894,13875.8,57688.3,45194
2,13875.8,57688.3,45194,13582.2,57336.4,46494
2,13582.2,57336.4,46494,13286.4,56996.4,47794
2,13286.4,56996.4,47794,12991.8,56635.2,49094
2,12991.8,56635.2,49094,12698.1,56261,50394
2,12698.1,56261,50394,12399.2,55882.3,51694
